legacy_id	new_id
DMP0481	P-0000526-T01
DMP0479	P-0000527-T01
DMP0485	P-0000429-T01
DMP0497	P-0001813-T01
DMP0498	P-0000530-T01
DMP0494	P-0000531-T01
DMP0502	P-0000532-T01
DMP0500	P-0000533-T01
DMP0495	P-0000534-T01
DMP0499	P-0000535-T01
DMP0501	P-0000536-T01
DMP0503	P-0000538-T01
DMP0496	P-0000541-T01
DMP0505	P-0000542-T01
DMP0504	P-0000543-T01
DMP0509	P-0000544-T01
DMP0511	P-0000546-T01
DMP0513	P-0000547-T01
DMP0507	P-0000552-T01
DMP0514	P-0000553-T01
DMP0508	P-0000554-T01
DMP0510	P-0000555-T01
DMP0506	P-0000557-T01
DMP0524	P-0000558-T01
DMP0521	P-0000560-T01
DMP0515	P-0000561-T01
DMP0519	P-0000562-T01
DMP0518	P-0000563-T01
DMP0517	P-0000564-T01
DMP0522	P-0000566-T01
DMP0525	P-0000350-T01
DMP0516	P-0000569-T01
DMP0520	P-0000570-T01
DMP0523	P-0000571-T01
DMP0531	P-0000572-T01
DMP0537	P-0000573-T01
DMP0527	P-0000574-T01
DMP0534	P-0000575-T01
DMP0529	P-0000576-T01
DMP0533	P-0000578-T01
DMP0530	P-0000579-T01
DMP0532	P-0000580-T01
DMP0536	P-0000376-T02
DMP0539	P-0000581-T01
DMP0535	P-0000582-T01
DMP0528	P-0000583-T01
DMP0526	P-0000584-T01
DMP0538	P-0000585-T01
DMP0540	P-0000586-T01
DMP0549	P-0000587-T01
DMP0543	P-0000588-T01
DMP0544	P-0000589-T01
DMP0542	P-0000590-T01
DMP0547	P-0000591-T01
DMP0545	P-0000592-T01
DMP0551	P-0000593-T01
DMP0554	P-0000594-T01
DMP0553	P-0000595-T01
DMP0546	P-0000596-T01
DMP0541	P-0000597-T01
DMP0550	P-0000598-T01
DMP0555	P-0000599-T01
DMP0552	P-0000489-T01
DMP0548	P-0000600-T01
DMP0568	P-0000602-T01
DMP0565	P-0000603-T01
DMP0558	P-0000604-T01
DMP0557	P-0000605-T01
DMP0560	P-0000606-T01
DMP0562	P-0000607-T01
DMP0570	P-0000609-T01
DMP0566	P-0000610-T01
