mature	precursor	alias
hsa-mir-1302-10	hsa-miR-1302	mir-1302-10/1302
hsa-mir-1302-11	hsa-miR-1302	mir-1302-11/1302
hsa-mir-1302-2	hsa-miR-1302	mir-1302-2/1302
hsa-mir-1302-3	hsa-miR-1302	mir-1302-3/1302
hsa-mir-1302-4	hsa-miR-1302	mir-1302-4/1302
hsa-mir-1302-5	hsa-miR-1302	mir-1302-5/1302
hsa-mir-1302-6	hsa-miR-1302	mir-1302-6/1302
hsa-mir-1302-7	hsa-miR-1302	mir-1302-7/1302
hsa-mir-1302-8	hsa-miR-1302	mir-1302-8/1302
hsa-mir-1302-9	hsa-miR-1302	mir-1302-9/1302
hsa-mir-1303	hsa-miR-1303	mir-1303/1303
hsa-mir-1304	hsa-miR-1304	mir-1304/1304
hsa-mir-1305	hsa-miR-1305	mir-1305/1305
hsa-mir-1306	hsa-miR-1306	mir-1306/1306
hsa-mir-1307	hsa-miR-1307	mir-1307/1307
hsa-mir-130a	hsa-miR-130a*	mir-130a/130a*
hsa-mir-130a	hsa-miR-130a	mir-130a/130a
hsa-mir-130b	hsa-miR-130b*	mir-130b/130b*
hsa-mir-130b	hsa-miR-130b	mir-130b/130b
hsa-mir-132	hsa-miR-132*	mir-132/132*
hsa-mir-132	hsa-miR-132	mir-132/132
hsa-mir-1321	hsa-miR-1321	mir-1321/1321
hsa-mir-1322	hsa-miR-1322	mir-1322/1322
hsa-mir-1323	hsa-miR-1323	mir-1323/1323
hsa-mir-1324	hsa-miR-1324	mir-1324/1324
hsa-mir-133a-1	hsa-miR-133a	mir-133a-1/133a
hsa-mir-133a-2	hsa-miR-133a	mir-133a-2/133a
hsa-mir-133b	hsa-miR-133b	mir-133b/133b
hsa-mir-134	hsa-miR-134	mir-134/134
hsa-mir-1343	hsa-miR-1343	mir-1343/1343
hsa-mir-135a-1	hsa-miR-135a	mir-135a-1/135a
hsa-mir-135a-1	hsa-miR-135a*	mir-135a-1/135a*
hsa-mir-135a-2	hsa-miR-135a	mir-135a-2/135a
hsa-mir-135b	hsa-miR-135b	mir-135b/135b
hsa-mir-135b	hsa-miR-135b*	mir-135b/135b*
hsa-mir-136	hsa-miR-136	mir-136/136
hsa-mir-136	hsa-miR-136*	mir-136/136*
hsa-mir-137	hsa-miR-137	mir-137/137
hsa-mir-138-1	hsa-miR-138-1*	mir-138-1/1*
hsa-mir-138-1	hsa-miR-138	mir-138-1/138
hsa-mir-138-2	hsa-miR-138	mir-138-2/138
hsa-mir-138-2	hsa-miR-138-2*	mir-138-2/2*
hsa-mir-139	hsa-miR-139-5p	mir-139/5p
hsa-mir-139	hsa-miR-139-3p	mir-139/3p
hsa-mir-140	hsa-miR-140-5p	mir-140/5p
hsa-mir-140	hsa-miR-140-3p	mir-140/3p
hsa-mir-141	hsa-miR-141*	mir-141/141*
hsa-mir-141	hsa-miR-141	mir-141/141
hsa-mir-142	hsa-miR-142-5p	mir-142/5p
hsa-mir-142	hsa-miR-142-3p	mir-142/3p
hsa-mir-143	hsa-miR-143*	mir-143/143*
hsa-mir-143	hsa-miR-143	mir-143/143
hsa-mir-144	hsa-miR-144*	mir-144/144*
hsa-mir-144	hsa-miR-144	mir-144/144
hsa-mir-145	hsa-miR-145	mir-145/145
hsa-mir-145	hsa-miR-145*	mir-145/145*
hsa-mir-1468	hsa-miR-1468	mir-1468/1468
hsa-mir-1469	hsa-miR-1469	mir-1469/1469
hsa-mir-146a	hsa-miR-146a	mir-146a/146a
hsa-mir-146a	hsa-miR-146a*	mir-146a/146a*
hsa-mir-146b	hsa-miR-146b-5p	mir-146b/5p
hsa-mir-146b	hsa-miR-146b-3p	mir-146b/3p
hsa-mir-147	hsa-miR-147	mir-147/147
hsa-mir-1470	hsa-miR-1470	mir-1470/1470
hsa-mir-1471	hsa-miR-1471	mir-1471/1471
hsa-mir-147b	hsa-miR-147b	mir-147b/147b
hsa-mir-148a	hsa-miR-148a*	mir-148a/148a*
hsa-mir-148a	hsa-miR-148a	mir-148a/148a
hsa-mir-148b	hsa-miR-148b*	mir-148b/148b*
hsa-mir-148b	hsa-miR-148b	mir-148b/148b
hsa-mir-149	hsa-miR-149	mir-149/149
hsa-mir-149	hsa-miR-149*	mir-149/149*
hsa-mir-150	hsa-miR-150	mir-150/150
hsa-mir-150	hsa-miR-150*	mir-150/150*
hsa-mir-151	hsa-miR-151-5p	mir-151/5p
hsa-mir-151	hsa-miR-151-3p	mir-151/3p
hsa-mir-151b	hsa-miR-151b	mir-151b/151b
hsa-mir-152	hsa-miR-152	mir-152/152
hsa-mir-153-1	hsa-miR-153	mir-153-1/153
hsa-mir-153-2	hsa-miR-153	mir-153-2/153
hsa-mir-1537	hsa-miR-1537	mir-1537/1537
hsa-mir-1538	hsa-miR-1538	mir-1538/1538
hsa-mir-1539	hsa-miR-1539	mir-1539/1539
hsa-mir-154	hsa-miR-154	mir-154/154
hsa-mir-154	hsa-miR-154*	mir-154/154*
hsa-mir-155	hsa-miR-155	mir-155/155
hsa-mir-155	hsa-miR-155*	mir-155/155*
hsa-mir-1587	hsa-miR-1587	mir-1587/1587
hsa-mir-15a	hsa-miR-15a	mir-15a/15a
hsa-mir-15a	hsa-miR-15a*	mir-15a/15a*
hsa-mir-15b	hsa-miR-15b	mir-15b/15b
hsa-mir-15b	hsa-miR-15b*	mir-15b/15b*
hsa-mir-16-1	hsa-miR-16	mir-16-1/16
hsa-mir-16-1	hsa-miR-16-1*	mir-16-1/1*
hsa-mir-16-2	hsa-miR-16-2*	mir-16-2/2*
hsa-mir-16-2	hsa-miR-16	mir-16-2/16
hsa-mir-17	hsa-miR-17	mir-17/17
hsa-mir-17	hsa-miR-17*	mir-17/17*
hsa-mir-181a-1	hsa-miR-181a*	mir-181a-1/181a*
hsa-mir-181a-1	hsa-miR-181a	mir-181a-1/181a
hsa-mir-181a-2	hsa-miR-181a	mir-181a-2/181a
hsa-mir-181a-2	hsa-miR-181a-2*	mir-181a-2/2*
hsa-mir-181b-1	hsa-miR-181b	mir-181b-1/181b
hsa-mir-181b-2	hsa-miR-181b	mir-181b-2/181b
hsa-mir-181c	hsa-miR-181c	mir-181c/181c
hsa-mir-181c	hsa-miR-181c*	mir-181c/181c*
hsa-mir-181d	hsa-miR-181d	mir-181d/181d
hsa-mir-182	hsa-miR-182	mir-182/182
hsa-mir-182	hsa-miR-182*	mir-182/182*
hsa-mir-1825	hsa-miR-1825	mir-1825/1825
hsa-mir-1827	hsa-miR-1827	mir-1827/1827
hsa-mir-183	hsa-miR-183	mir-183/183
hsa-mir-183	hsa-miR-183*	mir-183/183*
hsa-mir-184	hsa-miR-184	mir-184/184
hsa-mir-185	hsa-miR-185	mir-185/185
hsa-mir-185	hsa-miR-185*	mir-185/185*
hsa-mir-186	hsa-miR-186	mir-186/186
hsa-mir-186	hsa-miR-186*	mir-186/186*
hsa-mir-187	hsa-miR-187*	mir-187/187*
hsa-mir-187	hsa-miR-187	mir-187/187
hsa-mir-188	hsa-miR-188-5p	mir-188/5p
hsa-mir-188	hsa-miR-188-3p	mir-188/3p
hsa-mir-18a	hsa-miR-18a	mir-18a/18a
hsa-mir-18a	hsa-miR-18a*	mir-18a/18a*
hsa-mir-18b	hsa-miR-18b	mir-18b/18b
hsa-mir-18b	hsa-miR-18b*	mir-18b/18b*
hsa-mir-190	hsa-miR-190	mir-190/190
hsa-mir-1908	hsa-miR-1908	mir-1908/1908
hsa-mir-1909	hsa-miR-1909*	mir-1909/1909*
hsa-mir-1909	hsa-miR-1909	mir-1909/1909
hsa-mir-190b	hsa-miR-190b	mir-190b/190b
hsa-mir-191	hsa-miR-191	mir-191/191
hsa-mir-191	hsa-miR-191*	mir-191/191*
hsa-mir-1910	hsa-miR-1910	mir-1910/1910
hsa-mir-1911	hsa-miR-1911	mir-1911/1911
hsa-mir-1911	hsa-miR-1911*	mir-1911/1911*
hsa-mir-1912	hsa-miR-1912	mir-1912/1912
