mature	genome_ID
hsa-miR-1908	hsa-mir-1908
hsa-miR-1909	hsa-mir-1909
hsa-miR-1909*	hsa-mir-1909
hsa-miR-190b	hsa-mir-190b
hsa-miR-191	hsa-mir-191
hsa-miR-191*	hsa-mir-191
hsa-miR-1910	hsa-mir-1910
hsa-miR-1911	hsa-mir-1911
hsa-miR-1911*	hsa-mir-1911
hsa-miR-1912	hsa-mir-1912
hsa-miR-1913	hsa-mir-1913
hsa-miR-1914	hsa-mir-1914
hsa-miR-1914*	hsa-mir-1914
hsa-miR-1915	hsa-mir-1915
hsa-miR-1915*	hsa-mir-1915
hsa-miR-192	hsa-mir-192
hsa-miR-192*	hsa-mir-192
hsa-miR-193a-3p	hsa-mir-193a
hsa-miR-193a-5p	hsa-mir-193a
hsa-miR-193b	hsa-mir-193b
hsa-miR-193b*	hsa-mir-193b
hsa-miR-194	hsa-mir-194-1
hsa-miR-194	hsa-mir-194-2
hsa-miR-194*	hsa-mir-194-2
hsa-miR-195	hsa-mir-195
hsa-miR-195*	hsa-mir-195
hsa-miR-196a	hsa-mir-196a-1
hsa-miR-196a	hsa-mir-196a-2
hsa-miR-196a*	hsa-mir-196a-2
hsa-miR-196b	hsa-mir-196b
hsa-miR-196b*	hsa-mir-196b
hsa-miR-197	hsa-mir-197
hsa-miR-1972	hsa-mir-1972
hsa-miR-1973	hsa-mir-1973
hsa-miR-1974	hsa-mir-1974
hsa-miR-1975	hsa-mir-1975
hsa-miR-1976	hsa-mir-1976
hsa-miR-1977	hsa-mir-1977
hsa-miR-1978	hsa-mir-1978
hsa-miR-1979	hsa-mir-1979
hsa-miR-198	hsa-mir-198
hsa-miR-199a-3p	hsa-mir-199a-1
hsa-miR-199a-3p	hsa-mir-199a-2
hsa-miR-199a-5p	hsa-mir-199a-1
hsa-miR-199a-5p	hsa-mir-199a-2
hsa-miR-199b-3p	hsa-mir-199b
hsa-miR-199b-5p	hsa-mir-199b
hsa-miR-19a	hsa-mir-19a
hsa-miR-19a*	hsa-mir-19a
hsa-miR-19b	hsa-mir-19b-1
hsa-miR-19b	hsa-mir-19b-2
hsa-miR-19b-1*	hsa-mir-19b-1
hsa-miR-19b-2*	hsa-mir-19b-2
hsa-miR-200a	hsa-mir-200a
hsa-miR-200a*	hsa-mir-200a
hsa-miR-200b	hsa-mir-200b
hsa-miR-200b*	hsa-mir-200b
hsa-miR-200c	hsa-mir-200c
hsa-miR-200c*	hsa-mir-200c
hsa-miR-202	hsa-mir-202
hsa-miR-202*	hsa-mir-202
hsa-miR-203	hsa-mir-203
hsa-miR-204	hsa-mir-204
hsa-miR-205	hsa-mir-205
hsa-miR-205*	hsa-mir-205
hsa-miR-2052	hsa-mir-2052
hsa-miR-2053	hsa-mir-2053
hsa-miR-2054	hsa-mir-2054
hsa-miR-206	hsa-mir-206
hsa-miR-208a	hsa-mir-208a
hsa-miR-208b	hsa-mir-208b
hsa-miR-20a	hsa-mir-20a
hsa-miR-20a*	hsa-mir-20a
hsa-miR-20b	hsa-mir-20b
