precusor	mature	alias
hsa-mir-7112	hsa-miR-7112-5p	mir-7112/5p
hsa-mir-7112	hsa-miR-7112-3p	mir-7112/3p
hsa-mir-7111	hsa-miR-7111-5p	mir-7111/5p
hsa-mir-7111	hsa-miR-7111-3p	mir-7111/3p
hsa-mir-7110	hsa-miR-7110-5p	mir-7110/5p
hsa-mir-7110	hsa-miR-7110-3p	mir-7110/3p
hsa-mir-7109	hsa-miR-7109-5p	mir-7109/5p
hsa-mir-7109	hsa-miR-7109-3p	mir-7109/3p
hsa-mir-7108	hsa-miR-7108-5p	mir-7108/5p
hsa-mir-7108	hsa-miR-7108-3p	mir-7108/3p
hsa-mir-7107	hsa-miR-7107-5p	mir-7107/5p
hsa-mir-7107	hsa-miR-7107-3p	mir-7107/3p
hsa-mir-7106	hsa-miR-7106-5p	mir-7106/5p
hsa-mir-7106	hsa-miR-7106-3p	mir-7106/3p
hsa-mir-708	hsa-miR-708-5p	mir-708/5p
hsa-mir-708	hsa-miR-708-3p	mir-708/3p
hsa-mir-708	hsa-miR-708	mir-708/708
hsa-mir-708	hsa-miR-708*	mir-708/708*
hsa-mir-7-3	hsa-miR-7-5p	mir-7-3/5p
hsa-mir-7-3	hsa-miR-7	mir-7-3/7
hsa-mir-7-2	hsa-miR-7-5p	mir-7-2/5p
hsa-mir-7-2	hsa-miR-7-2-3p	mir-7-2/3p
hsa-mir-7-2	hsa-miR-7-2*	mir-7-2/2*
hsa-mir-7-2	hsa-miR-7	mir-7-2/7
hsa-mir-7-1	hsa-miR-7-5p	mir-7-1/5p
hsa-mir-7-1	hsa-miR-7-1-3p	mir-7-1/3p
hsa-mir-7-1	hsa-miR-7	mir-7-1/7
hsa-mir-7-1	hsa-miR-7-1*	mir-7-1/1*
hsa-mir-6895	hsa-miR-6895-5p	mir-6895/5p
hsa-mir-6895	hsa-miR-6895-3p	mir-6895/3p
hsa-mir-6894	hsa-miR-6894-5p	mir-6894/5p
hsa-mir-6894	hsa-miR-6894-3p	mir-6894/3p
hsa-mir-6893	hsa-miR-6893-5p	mir-6893/5p
hsa-mir-6893	hsa-miR-6893-3p	mir-6893/3p
hsa-mir-6892	hsa-miR-6892-5p	mir-6892/5p
hsa-mir-6892	hsa-miR-6892-3p	mir-6892/3p
hsa-mir-6891	hsa-miR-6891-5p	mir-6891/5p
hsa-mir-6891	hsa-miR-6891-3p	mir-6891/3p
hsa-mir-6890	hsa-miR-6890-5p	mir-6890/5p
hsa-mir-6890	hsa-miR-6890-3p	mir-6890/3p
hsa-mir-6889	hsa-miR-6889-5p	mir-6889/5p
hsa-mir-6889	hsa-miR-6889-3p	mir-6889/3p
hsa-mir-6888	hsa-miR-6888-5p	mir-6888/5p
hsa-mir-6888	hsa-miR-6888-3p	mir-6888/3p
hsa-mir-6887	hsa-miR-6887-5p	mir-6887/5p
hsa-mir-6887	hsa-miR-6887-3p	mir-6887/3p
hsa-mir-6886	hsa-miR-6886-5p	mir-6886/5p
hsa-mir-6886	hsa-miR-6886-3p	mir-6886/3p
hsa-mir-6885	hsa-miR-6885-5p	mir-6885/5p
hsa-mir-6885	hsa-miR-6885-3p	mir-6885/3p
hsa-mir-6884	hsa-miR-6884-5p	mir-6884/5p
hsa-mir-6884	hsa-miR-6884-3p	mir-6884/3p
hsa-mir-6883	hsa-miR-6883-5p	mir-6883/5p
hsa-mir-6883	hsa-miR-6883-3p	mir-6883/3p
hsa-mir-6882	hsa-miR-6882-5p	mir-6882/5p
hsa-mir-6882	hsa-miR-6882-3p	mir-6882/3p
hsa-mir-6881	hsa-miR-6881-5p	mir-6881/5p
hsa-mir-6881	hsa-miR-6881-3p	mir-6881/3p
hsa-mir-6880	hsa-miR-6880-5p	mir-6880/5p
hsa-mir-6880	hsa-miR-6880-3p	mir-6880/3p
hsa-mir-6879	hsa-miR-6879-5p	mir-6879/5p
hsa-mir-6879	hsa-miR-6879-3p	mir-6879/3p
hsa-mir-6878	hsa-miR-6878-5p	mir-6878/5p
hsa-mir-6878	hsa-miR-6878-3p	mir-6878/3p
hsa-mir-6877	hsa-miR-6877-5p	mir-6877/5p
hsa-mir-6877	hsa-miR-6877-3p	mir-6877/3p
hsa-mir-6876	hsa-miR-6876-5p	mir-6876/5p
hsa-mir-6876	hsa-miR-6876-3p	mir-6876/3p
hsa-mir-6875	hsa-miR-6875-5p	mir-6875/5p
hsa-mir-6875	hsa-miR-6875-3p	mir-6875/3p
hsa-mir-6874	hsa-miR-6874-5p	mir-6874/5p
hsa-mir-6874	hsa-miR-6874-3p	mir-6874/3p
hsa-mir-6873	hsa-miR-6873-5p	mir-6873/5p
hsa-mir-6873	hsa-miR-6873-3p	mir-6873/3p
hsa-mir-6872	hsa-miR-6872-5p	mir-6872/5p
hsa-mir-6872	hsa-miR-6872-3p	mir-6872/3p
hsa-mir-6871	hsa-miR-6871-5p	mir-6871/5p
hsa-mir-6871	hsa-miR-6871-3p	mir-6871/3p
hsa-mir-6870	hsa-miR-6870-5p	mir-6870/5p
hsa-mir-6870	hsa-miR-6870-3p	mir-6870/3p
hsa-mir-6869	hsa-miR-6869-5p	mir-6869/5p
hsa-mir-6869	hsa-miR-6869-3p	mir-6869/3p
hsa-mir-6843	hsa-miR-6843-3p	mir-6843/3p
hsa-mir-6868	hsa-miR-6868-5p	mir-6868/5p
hsa-mir-6868	hsa-miR-6868-3p	mir-6868/3p
hsa-mir-6867	hsa-miR-6867-5p	mir-6867/5p
hsa-mir-6867	hsa-miR-6867-3p	mir-6867/3p
hsa-mir-6866	hsa-miR-6866-5p	mir-6866/5p
hsa-mir-6866	hsa-miR-6866-3p	mir-6866/3p
hsa-mir-6865	hsa-miR-6865-5p	mir-6865/5p
hsa-mir-6865	hsa-miR-6865-3p	mir-6865/3p
hsa-mir-6864	hsa-miR-6864-5p	mir-6864/5p
hsa-mir-6864	hsa-miR-6864-3p	mir-6864/3p
hsa-mir-6862-2	hsa-miR-6862-5p	mir-6862-2/5p
hsa-mir-6862-2	hsa-miR-6862-3p	mir-6862-2/3p
hsa-mir-6862-1	hsa-miR-6862-5p	mir-6862-1/5p
hsa-mir-6862-1	hsa-miR-6862-3p	mir-6862-1/3p
hsa-mir-6861	hsa-miR-6861-5p	mir-6861/5p
hsa-mir-6861	hsa-miR-6861-3p	mir-6861/3p
hsa-mir-6859-4	hsa-miR-6859-5p	mir-6859-4/5p
hsa-mir-6859-4	hsa-miR-6859-3p	mir-6859-4/3p
hsa-mir-6860	hsa-miR-6860	mir-6860/6860
hsa-mir-6859-3	hsa-miR-6859-5p	mir-6859-3/5p
hsa-mir-6859-3	hsa-miR-6859-3p	mir-6859-3/3p
hsa-mir-6859-2	hsa-miR-6859-5p	mir-6859-2/5p
